date,city,count_review,avg_stars,diff_precip,avg_temp
2016-01-04,Las Vegas,3200,3.7078,0.02,49.0
2016-01-05,Las Vegas,2645,3.7637,0.27,48.5
2016-01-06,Las Vegas,2585,3.8878,0.17,49.5
2016-01-07,Las Vegas,2535,3.8028,0.0,47.0
2016-01-08,Las Vegas,2480,3.7702,0.0,46.5
2016-01-09,Las Vegas,2990,3.7876,0.0,43.5
2016-01-10,Las Vegas,3085,3.8185,0.0,45.5
2016-01-11,Las Vegas,2335,3.8287,0.0,42.5
2016-01-12,Las Vegas,2320,3.8793,0.0,42.0
2016-01-13,Las Vegas,2230,3.9619,0.0,40.0
2016-01-14,Las Vegas,2030,3.8522,0.0,42.5
2016-01-15,Las Vegas,2050,3.8171,0.0,46.5
2016-01-16,Las Vegas,2645,3.7769,0.0,44.5
2016-01-17,Las Vegas,3305,3.7534,0.0,44.0
2016-01-18,Las Vegas,3340,3.6677,0.0,51.0
2016-01-19,Las Vegas,2730,3.8773,0.01,45.0
2016-01-20,Las Vegas,2400,3.7958,0.0,51.5
2016-01-21,Las Vegas,2315,3.7775,0.0,47.5
2016-01-22,Las Vegas,2515,3.6938,0.0,48.0
2016-01-23,Las Vegas,2940,3.8418,0.0,48.5
2016-01-24,Las Vegas,3245,3.7427,0.0,53.5
2016-01-25,Las Vegas,2740,3.8942,0.0,50.0
2016-01-26,Las Vegas,2260,3.927,0.0,49.0
2016-01-27,Las Vegas,2145,3.9347,0.0,47.0
2016-01-28,Las Vegas,2255,3.9135,0.0,50.0
2016-01-29,Las Vegas,2505,3.9701,0.0,52.5
2016-01-30,Las Vegas,3135,3.8325,0.0,57.0
2016-01-31,Las Vegas,3090,3.9612,0.14,50.5
2016-02-01,Las Vegas,3150,3.7762,0.02,42.0
2016-02-02,Las Vegas,2430,3.8313,0.0,38.5
2016-02-03,Las Vegas,2260,3.7987,0.0,39.5
2016-02-04,Las Vegas,2425,3.8412,0.0,41.0
2016-02-05,Las Vegas,2365,3.9218,0.0,49.0
2016-02-06,Las Vegas,2530,3.8953,0.0,49.5
2016-02-07,Las Vegas,2780,3.7716,0.0,58.0
2016-02-08,Las Vegas,2470,3.8279,0.0,61.5
2016-02-09,Las Vegas,2245,3.7951,0.0,59.0
2016-02-10,Las Vegas,2425,3.9216,0.0,58.5
2016-02-11,Las Vegas,2055,3.82,0.0,58.5
2016-02-12,Las Vegas,2430,3.7819,0.0,58.5
2016-02-13,Las Vegas,2830,3.7756,0.0,58.5
2016-02-14,Las Vegas,3475,3.6604,0.0,62.0
2016-02-15,Las Vegas,3945,3.6008,0.0,67.5
2016-02-16,Las Vegas,2840,3.794,0.0,63.0
