date,precipitation,precipitation_normal
19750616,1.41,2.93
19750617,1.41,2.93
19750618,1.41,2.93
19750619,1.41,2.93
19750620,1.41,2.93
19750621,1.41,2.93
19750622,1.41,2.93
19750623,1.41,2.93
19750624,1.41,2.93
19750625,1.41,2.93
19750626,1.41,2.93
19750627,1.41,2.93
19750628,1.41,2.93
19750629,1.41,2.94
19750630,1.41,2.94
19750701,1.41,2.95
19750702,1.41,2.97
19750703,1.41,2.98
19750704,1.41,3.00
19750705,1.41,3.02
19750706,1.41,3.04
19750707,1.41,3.05
19750708,1.41,3.08
19750709,1.41,3.10
19750710,1.41,3.12
19750711,1.43,3.15
19750712,1.43,3.18
19750713,1.43,3.21
19750714,1.43,3.23
19750715,1.43,3.27
19750716,1.79,3.30
19750717,1.79,3.33
19750718,1.79,3.37
19750719,1.79,3.40
19750720,1.79,3.44
19750721,1.79,3.48
19750722,1.79,3.52
19750723,1.79,3.56
19750724,1.79,3.59
19750725,1.79,3.63
19750726,1.79,3.67
19750727,1.79,3.71
19750728,1.79,3.74
19750729,1.79,3.78
19750730,1.79,3.81
19750731,1.79,3.85
19750801,1.79,3.88
19750802,1.79,3.91
19750803,1.79,3.94
19750804,1.79,3.97
19750805,1.79,4.00
19750806,1.79,4.04
19750807,1.79,4.07
19750808,1.79,4.10
19750809,1.79,4.13
19750810,1.79,4.16
19750811,1.79,4.19
19750812,1.79,4.22
19750813,1.79,4.25
19750814,1.79,4.28
19750815,1.79,4.31
19750816,1.79,4.34
19750817,1.79,4.37
19750818,1.79,4.40
19750819,1.79,4.43
19750820,1.79,4.46
19750821,1.79,4.49
19750822,1.79,4.51
19750823,1.79,4.54
19750824,1.79,4.57
19750825,1.79,4.60
19750826,1.79,4.63
19750827,1.79,4.66
19750828,1.79,4.69
19750829,1.79,4.72
19750830,1.79,4.75
19750831,1.79,4.78
19750901,1.79,4.81
19750902,1.79,4.83
19750903,1.79,4.86
19750904,1.79,4.88
19750905,1.82,4.91
19750906,1.82,4.93
19750907,2.61,4.95
19750908,2.61,4.97
19750909,2.61,4.99
19750910,2.61,5.01
19750911,2.61,5.03
19750912,2.61,5.05
19750913,2.61,5.07
19750914,2.61,5.08
19750915,2.61,5.10
19750916,2.61,5.12
19750917,2.61,5.14
19750918,2.61,5.16
19750919,2.61,5.18
19750920,2.61,5.20
19750921,2.61,5.21
19750922,2.61,5.23
19750923,2.61,5.25
19750924,2.61,5.26
19750925,2.61,5.27
19750926,2.61,5.29
19750927,2.61,5.30
19750928,2.61,5.32
19750929,2.61,5.33
19750930,2.61,5.35
19751001,2.61,5.37
19751002,2.61,5.39
19751003,2.61,5.41
19751004,2.61,5.43
19751005,2.61,5.44
19751006,2.61,5.46
19751007,2.61,5.48
19751008,2.61,5.50
19751009,2.61,5.52
19751010,2.61,5.53
19751011,2.61,5.55
19751012,2.61,5.57
19751013,2.61,5.59
19751014,2.61,5.61
19751015,2.61,5.63
19751016,2.61,5.65
19751017,2.61,5.67
19751018,2.61,5.68
19751019,2.61,5.70
19751020,2.62,5.72
19751021,2.84,5.74
19751022,2.84,5.75
19751023,2.84,5.77
19751024,2.84,5.79
19751025,2.84,5.81
19751026,2.84,5.82
19751027,2.84,5.84
19751028,2.84,5.86
19751029,2.84,5.87
19751030,2.84,5.89
19751031,2.84,5.91
19751101,2.84,5.93
19751102,2.84,5.95
19751103,2.84,5.96
19751104,2.84,5.98
19751105,2.84,6.00
19751106,2.84,6.01
19751107,2.84,6.03
19751108,2.84,6.05
19751109,2.84,6.07
19751110,2.84,6.09
19751111,2.84,6.10
19751112,2.84,6.12
19751113,2.84,6.14
19751114,2.84,6.15
19751115,2.84,6.17
19751116,2.84,6.19
19751117,2.84,6.20
19751118,2.84,6.22
19751119,2.84,6.24
19751120,2.84,6.26
19751121,2.84,6.28
19751122,2.84,6.30
19751123,2.84,6.32
19751124,2.84,6.34
19751125,2.84,6.37
19751126,2.84,6.39
19751127,2.84,6.41
19751128,3.32,6.44
19751129,3.39,6.46
19751130,3.39,6.48
19751201,3.39,6.50
