date,min,max,normal_min,normal_max
20060302,40.0,69.0,45.6,66.4
20060303,42.0,67.0,45.8,66.7
20060304,43.0,61.0,46.0,67.0
20060305,39.0,66.0,46.3,67.3
20060306,49.0,70.0,46.5,67.6
20060307,50.0,65.0,46.7,68.0
20060308,47.0,62.0,46.9,68.3
20060309,45.0,65.0,47.1,68.6
20060310,38.0,52.0,47.3,68.9
20060311,36.0,50.0,47.6,69.2
20060312,36.0,53.0,47.8,69.5
20060313,36.0,55.0,48.0,69.8
20060314,39.0,67.0,48.2,70.1
20060315,47.0,62.0,48.4,70.4
20060316,42.0,67.0,48.6,70.7
20060317,52.0,67.0,48.8,71.0
20060318,46.0,58.0,49.0,71.2
20060319,43.0,55.0,49.2,71.5
20060320,37.0,60.0,49.4,71.8
20060321,40.0,50.0,49.5,72.0
20060322,36.0,64.0,49.7,72.3
20060323,43.0,69.0,49.9,72.5
20060324,47.0,74.0,50.1,72.8
20060325,49.0,76.0,50.3,73.0
20060326,54.0,70.0,50.5,73.2
20060327,52.0,73.0,50.7,73.5
20060328,54.0,67.0,50.8,73.7
20060329,47.0,63.0,51.0,73.9
20060330,45.0,65.0,51.2,74.1
20060331,50.0,66.0,51.4,74.3
20060401,53.0,68.0,51.6,74.5
20060402,46.0,74.0,51.8,74.8
20060403,54.0,81.0,52.0,75.0
20060404,59.0,83.0,52.2,75.2
20060405,47.0,62.0,52.4,75.4
20060406,46.0,70.0,52.6,75.6
20060407,49.0,74.0,52.8,75.8
20060408,57.0,78.0,53.0,76.0
20060409,50.0,81.0,53.2,76.2
20060410,52.0,69.0,53.5,76.4
20060411,49.0,73.0,53.7,76.7
20060412,51.0,83.0,53.9,76.9
20060413,55.0,87.0,54.2,77.1
20060414,58.0,79.0,54.4,77.3
20060415,50.0,74.0,54.7,77.6
20060416,58.0,78.0,54.9,77.8
20060417,53.0,66.0,55.2,78.1
20060418,50.0,69.0,55.5,78.3
20060419,52.0,75.0,55.7,78.6
20060420,51.0,80.0,56.0,78.9
20060421,57.0,84.0,56.3,79.1
20060422,59.0,81.0,56.6,79.4
20060423,53.0,69.0,56.9,79.7
20060424,49.0,75.0,57.2,80.0
20060425,54.0,80.0,57.5,80.3
20060426,56.0,80.0,57.8,80.6
20060427,63.0,77.0,58.1,80.9
20060428,57.0,89.0,58.4,81.2
20060429,63.0,89.0,58.8,81.6
20060430,64.0,92.0,59.1,81.9
20060501,65.0,93.0,59.4,82.2
20060502,66.0,95.0,59.7,82.6
20060503,70.0,90.0,60.1,82.9
20060504,69.0,84.0,60.4,83.3
20060505,63.0,81.0,60.7,83.6
20060506,57.0,85.0,61.0,84.0
20060507,63.0,91.0,61.4,84.4
20060508,66.0,94.0,61.7,84.7
20060509,70.0,90.0,62.0,85.1
20060510,65.0,88.0,62.3,85.5
20060511,63.0,92.0,62.7,85.9
20060512,66.0,98.0,63.0,86.2
20060513,72.0,99.0,63.3,86.6
20060514,71.0,99.0,63.6,87.0
20060515,73.0,98.0,63.9,87.4
20060516,76.0,98.0,64.2,87.8
20060517,73.0,100.0,64.6,88.2
20060518,77.0,99.0,64.9,88.5
20060519,76.0,101.0,65.2,88.9
20060520,78.0,98.0,65.5,89.3
20060521,71.0,95.0,65.8,89.7
20060522,67.0,78.0,66.1,90.1
20060523,60.0,86.0,66.4,90.5
20060524,65.0,95.0,66.7,90.8
20060525,71.0,99.0,67.0,91.2
20060526,68.0,98.0,67.3,91.6
20060527,63.0,77.0,67.6,92.0
20060528,59.0,78.0,67.9,92.4
20060529,55.0,84.0,68.2,92.7
20060530,62.0,88.0,68.6,93.1
20060531,64.0,95.0,68.9,93.5
20060601,67.0,101.0,69.2,93.9
20060602,70.0,104.0,69.5,94.2
20060603,73.0,104.0,69.8,94.6
20060604,76.0,107.0,70.1,94.9
20060605,77.0,106.0,70.4,95.3
20060606,75.0,106.0,70.7,95.7
20060607,74.0,95.0,71.0,96.0
20060608,71.0,95.0,71.4,96.4
20060609,74.0,99.0,71.7,96.7
20060610,72.0,99.0,72.0,97.0
20060611,72.0,100.0,72.3,97.4
20060612,70.0,99.0,72.6,97.7
20060613,73.0,97.0,73.0,98.0
20060614,69.0,89.0,73.3,98.4
20060615,70.0,93.0,73.6,98.7
20060616,73.0,96.0,73.9,99.0
20060617,71.0,101.0,74.2,99.3
20060618,73.0,106.0,74.6,99.6
20060619,81.0,106.0,74.9,99.9
20060620,79.0,103.0,75.2,100.2
20060621,73.0,104.0,75.5,100.4
20060622,75.0,106.0,75.8,100.7
20060623,77.0,108.0,76.1,101.0
20060624,82.0,110.0,76.4,101.2
20060625,82.0,109.0,76.7,101.5
20060626,85.0,106.0,76.9,101.7
20060627,83.0,105.0,77.2,101.9
20060628,82.0,97.0,77.5,102.1
20060629,81.0,106.0,77.7,102.3
20060630,82.0,106.0,78.0,102.5
20060701,85.0,106.0,78.2,102.7
20060702,82.0,107.0,78.4,102.9
20060703,82.0,95.0,78.6,103.0
20060704,79.0,93.0,78.9,103.2
20060705,76.0,99.0,79.0,103.3
20060706,78.0,99.0,79.2,103.4
20060707,79.0,98.0,79.4,103.6
20060708,80.0,102.0,79.5,103.7
20060709,83.0,101.0,79.7,103.8
20060710,79.0,105.0,79.8,103.9
20060711,80.0,107.0,79.9,103.9
20060712,80.0,106.0,80.0,104.0
20060713,76.0,108.0,80.1,104.0
20060714,78.0,109.0,80.2,104.1
20060715,83.0,113.0,80.2,104.1
20060716,83.0,112.0,80.3,104.1
20060717,80.0,109.0,80.3,104.2
20060718,82.0,105.0,80.4,104.2
20060719,86.0,102.0,80.4,104.2
20060720,81.0,107.0,80.4,104.2
20060721,87.0,108.0,80.3,104.1
20060722,92.0,104.0,80.3,104.1
20060723,90.0,110.0,80.3,104.1
20060724,90.0,111.0,80.2,104.1
20060725,89.0,108.0,80.2,104.0
20060726,87.0,105.0,80.1,104.0
20060727,85.0,103.0,80.0,103.9
20060728,82.0,108.0,80.0,103.9
20060729,78.0,102.0,79.9,103.8
20060730,84.0,103.0,79.8,103.7
20060731,79.0,102.0,79.7,103.7
20060801,80.0,98.0,79.6,103.6
20060802,74.0,99.0,79.5,103.5
20060803,78.0,99.0,79.3,103.5
20060804,76.0,94.0,79.2,103.4
20060805,73.0,98.0,79.1,103.3
20060806,74.0,102.0,79.0,103.2
20060807,74.0,105.0,78.8,103.2
20060808,72.0,105.0,78.7,103.1
20060809,81.0,103.0,78.6,103.0
20060810,81.0,103.0,78.4,102.9
20060811,82.0,106.0,78.3,102.8
20060812,80.0,102.0,78.2,102.7
20060813,75.0,102.0,78.0,102.6
20060814,79.0,103.0,77.9,102.5
20060815,78.0,101.0,77.7,102.4
20060816,75.0,101.0,77.6,102.3
20060817,71.0,99.0,77.5,102.2
20060818,69.0,99.0,77.3,102.1
20060819,74.0,101.0,77.1,101.9
20060820,73.0,103.0,77.0,101.8
20060821,77.0,106.0,76.8,101.7
20060822,80.0,105.0,76.7,101.5
20060823,83.0,104.0,76.5,101.4
20060824,81.0,104.0,76.3,101.2
20060825,82.0,100.0,76.2,101.0
20060826,72.0,97.0,76.0,100.9
20060827,74.0,100.0,75.8,100.7
20060828,73.0,102.0,75.6,100.5
20060829,73.0,105.0,75.4,100.3
20060830,79.0,103.0,75.2,100.0
20060831,76.0,102.0,75.0,99.8
20060901,79.0,101.0,74.8,99.5
20060902,76.0,102.0,74.6,99.3
20060903,79.0,99.0,74.3,99.0
20060904,78.0,100.0,74.1,98.7
20060905,77.0,101.0,73.8,98.4
20060906,80.0,100.0,73.6,98.1
20060907,74.0,89.0,73.3,97.8
20060908,70.0,91.0,73.0,97.4
20060909,70.0,93.0,72.7,97.1
20060910,66.0,93.0,72.4,96.7
20060911,72.0,97.0,72.1,96.4
20060912,74.0,99.0,71.8,96.0
20060913,73.0,96.0,71.4,95.6
20060914,75.0,96.0,71.1,95.2
20060915,69.0,85.0,70.7,94.7
20060916,61.0,79.0,70.4,94.3
20060917,62.0,83.0,70.0,93.9
20060918,61.0,85.0,69.6,93.4
